name,meaning
가공,"타인의 동산에 어떤 작업을 통하여 새로운 것을 만들어 내는 것이다. 새로이 제작된 물건을 가공물이라고 하고, 만들어진 물건이 새로운 것인지 아닌지는 사회의 일반적 통념에 따라 결정한다."
가등기,"본등기(종국등기)를 할 수 있을 만한 실체법적 절차법적 요건이 구비되지 않을 때, 본등기의 순위를 확보하기 위해 임시로 미리 해두는 등기를 지칭한다(부동산 등기법 제3조)."
가석방,"징역 또는 금고의 형을 받고 수형 중에 있는 자가 선행 또는 선행하기로 약속하거나, 뉘우치는 태도가 뚜렷할 때 형기 만료 전에 조건부로 석방하는 제도를 말한다."
가압류,채권자의 청구권에 대해 장래에 실시할 강제집행이 불가능하거나 매우 곤란한 상황에 대비해 채무자의 재산을 사전에 압류함으로써 강제집행을 보전하는 절차(민사집행법 제276조 이하)  
가족법,가족 및 친족의 공동생활과 공동생활에 기초한 재산의 승계관계를 규율하는 법이다.
가집행선고,민사소송의 경우 확정판결이 나기까지 오랜 시간이 걸리기 때문에 이로 인해 승소자가 승소판결의 실익을 얻지 못하는 것을 막기 위해 미확정 판결에 대해서도 확정판결과 동일한 집행력을 부여하는 절차.
가처분,금전채권 이외에 특정의 지급을 목적으로 하는 청구권에 대한 집행을 보전하기 위하여 또는 권리관계에 대한 임시의 지위를 빠른 시간 안에 정하기 위해 법원이 행하는 일시적인 명령(민사집행법 제300조)
가해자,"다른 사람의 생명이나 신체, 재산, 명예 등에 해를 끼친 사람을 뜻한다."
간접강제,채무자가 스스로 채무를 이행하지 않을 경우 채무자에 대해 어떤 불이익을 부과하거나 심리적으로 압박을 가함으로써 빚을 갚게하는 방법을 말한다.
간통,"정조를 위반하는 행위로, 배우자가 있는 사람이 그의 배우자가 아닌 다른 사람과 자발적으로 성교하는 것을 말한다."
감정,법원 또는 수사기관이 특수한 지식이나 경험을 가진 자로 하여금 그 전문지식을 활용하여 일정한 사실을 판단하도록 하는 것을 말한다.
감정인,"법원의 명령에 따라, 전문적 지식이나 경험에 속하는 법칙, 또는 이를 구체적 사실에 적용하여 얻은 판단을 법원이나 법관에 보고하는 자를 말한다."
감형권,"재판에서 선고받은 형을 가볍게 하거나, 형의 집행에서 본래 정하여진 형벌보다 가벼운 형벌에 처하게 해주는 국가원수의 특권을 말한다."
강제,상대가 원하지 않는 일을 강요하게 하거나 어떤 일을 할 의무가 없음에도 하도록 명령하는 것을 뜻한다.
강제이행,채무자가 채무의 이행을 하지 않을 때에 채권자가 법원에서 정한 절차를 통하여 강제적으로 채무이행을 하게 하는 것을 말한다.
개발이익,"도로·철도 등 공공시설의 건설로 개발이 이루어짐으로 인하여 그 주변의 지가가 상승했을 경우, 그 상승된 이익부분을 말한다."
개인적공권,국민이 상대방인 국가에 대해 가지는 권리로서 행정법의 개념이다.
거동범,"외부적인 결과의 발생이 필요하지 않은 범죄로서 일정한 행위만 있으면 이미 구성요건이 충족되는 범죄를 말한다. 행위범, 형식범이라고도 불린다."
거부권,새로 제정된 법안의 의결된 내용에 대해 당사자나 이해관계 있는 제3자가 그 법안의 효력발생을 거부할 수 있는 권리이며 주로 입법부가 채택한 법률의 성립을 집행부가 저지할 수 있는 권한을 말한다.
검사,"범죄 사건을 수사하고, 범죄 여부에 대한 법원의 판단을 구하기 위해 피의자를 법원에 기소하고 및 기소를 계속 유지할 임무를 담당한다."
검사동일체의원칙,검찰 조직 전체가 검찰총장을 정점으로 상명하복 관계를 가지고 유기적 조직체서로 검찰 사무를 집행하는 것을 말한다.
검증,"법관이 사실에 관계되는 물체를 자신의 감각에 의하여 스스로 사물의 성질, 상태 등을 실험하는 증거조사를 말한다."
